Gene,Leg_MF1,Leg_MF2,Leg_MF3,Leg_VF1,Leg_VF2,Leg_VF3,Name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
XM_038047179.1,2566.55425,2661.58312,2356.005044,2564.179222,2515.594186,2139.162645,nan,2433.633577,-0.088296953,0.155730453,-0.566985785,0.57072384,0.687612441
XM_038047180.1,3776.672586,3452.547416,3077.027734,3545.347393,3431.848466,3002.061586,nan,3332.079419,-0.061667927,0.154562041,-0.398984943,0.689904298,0.781607351
XM_038047181.1,2576.148845,2662.365479,2364.157311,2568.659442,2516.688875,2140.196057,nan,2437.546851,-0.090095554,0.155268782,-0.580255429,0.56174238,0.680309619
XM_038047182.1,2535.371815,2620.118127,2340.606319,2473.081416,2477.280088,2123.661467,nan,2395.280158,-0.100458895,0.149175935,-0.673425609,0.500676561,0.629400757
XM_038047183.1,2562.956277,2656.106612,2349.664393,2556.712189,2511.215432,2139.162645,nan,2429.016229,-0.087637885,0.155067215,-0.565160629,0.571964513,0.688676718
XM_038047184.1,2566.55425,2661.58312,2356.005044,2564.179222,2515.594186,2139.162645,nan,2433.633577,-0.088296953,0.155730453,-0.566985785,0.57072384,0.687612441
XM_038047185.1,2.398648832,7.82358354,16.30453318,4.480219957,3.284065517,8.267295247,nan,6.79306251,-0.826418201,1.069046531,-0.773042311,0.439497341,NA
XM_038047186.1,2531.773842,2631.071144,2352.381815,2520.870429,2496.984482,2123.661467,nan,2409.582612,-0.090432953,0.153045954,-0.590887578,0.55459575,0.674815455
XM_038047187.1,877.9054725,1526.381149,1204.72384,879.6165183,1320.194338,1310.366297,nan,1173.797612,-0.062991098,0.315487992,-0.199662428,0.8417446,0.893766078
XM_038047188.1,1172.939279,1553.763691,1471.031216,1042.397843,1556.647055,1479.845849,nan,1363.235168,-0.061077382,0.256844585,-0.237798985,0.812037006,0.872056937
XM_038047189.1,172.7027159,201.8484553,165.762754,221.0241846,192.665177,180.8470835,nan,186.7208933,0.118487691,0.219130936,0.540716399,0.588703073,0.701185048
XM_038047190.1,1330.050777,1289.326567,1205.629648,1518.794566,1222.767061,1222.526285,nan,1279.412103,0.034651187,0.161616383,0.214403926,0.83023208,0.885795489
XM_038047191.1,0,0,0,5.97362661,0,0,IR72,0.971924315,3.414117322,3.95126313,0.864057191,0.387556474,NA
XM_038047192.1,2.398648832,26.60018403,42.57294775,62.7230794,37.2194092,21.70165002,nan,31.97802736,0.722693665,0.960761237,0.752209433,0.451925122,0.585759278
XM_038047193.1,2.398648832,26.60018403,42.57294775,62.7230794,37.2194092,21.70165002,nan,31.97802736,0.722693665,0.960761237,0.752209433,0.451925122,0.585759278
XM_038047194.1,0,0,0,0,0,0,nan,0,NA,NA,NA,NA,NA
XM_038047195.1,622.4493719,432.6441697,431.1643219,353.9373766,380.9516,432.9995886,nan,435.4632802,-0.358627587,0.225458335,-1.590660138,0.111686082,0.226444452
XM_038047196.1,152.3142008,90.75356906,48.91359954,100.0582457,84.29101494,76.47248103,nan,90.32206144,-0.173461153,0.462538402,-0.375020002,0.707645591,0.794423841
XM_038047197.1,1354.037266,985.771526,1105.085027,585.4154078,954.568377,910.4358891,nan,968.5673621,-0.50242335,0.26864215,-1.870232763,0.061451502,0.158122108
XM_038047198.1,86.35135795,102.4889444,118.6607692,213.5571513,102.9007195,179.8136716,nan,131.8758212,0.67144397,0.368039393,1.824380714,0.068094536,0.167091695
XM_038047199.1,142.7196055,222.9721309,240.9447681,286.7340773,293.3765195,288.3219217,nan,242.6614135,0.492662833,0.286074073,1.722151287,0.085042116,0.191002424
XM_038047200.1,317.8209702,246.4428815,215.5821609,138.8868187,199.233308,208.749205,nan,217.9509048,-0.523184065,0.280314089,-1.866420866,0.061982506,0.158975455
XM_038047201.1,179.8986624,86.84177729,101.4504287,86.61758584,66.77599885,60.97130245,nan,95.45299218,-0.782554681,0.385899199,-2.027873294,0.042573181,0.126573274
XM_038047202.1,179.8986624,86.84177729,101.4504287,86.61758584,66.77599885,60.97130245,nan,95.45299218,-0.782554681,0.385899199,-2.027873294,0.042573181,0.126573274
XM_038047203.1,1431.993353,1317.491468,1164.868315,1155.896749,1199.778602,1259.729113,nan,1237.005229,-0.129400163,0.145007399,-0.892369378,0.372194979,0.509583839
XM_038047204.1,205.0844751,172.1188379,141.3059542,146.3538519,157.6351448,159.1454335,nan,161.0634293,-0.175297989,0.234321474,-0.748108941,0.45439445,0.588096986
XM_038047205.1,21.58783949,31.29433416,23.55099237,25.38791309,26.27252414,60.97130245,nan,31.04650853,0.518610697,0.555192375,0.934109905,0.350247203,0.489427297
XM_038047206.1,8.395270912,25.03546733,36.23229595,4.480219957,6.568131034,14.46776668,nan,15.60746649,-1.49505393,0.855042665,-1.748513836,0.080375092,0.184598887
XM_038047207.1,8.395270912,25.03546733,36.23229595,4.480219957,6.568131034,14.46776668,nan,15.60746649,-1.49505393,0.855042665,-1.748513836,0.080375092,0.184598887
XM_038047208.1,44.37500339,174.4659129,149.4582208,207.5835247,126.9838667,146.7444906,nan,139.9806624,0.35838625,0.5518175,0.649465176,0.516037748,0.642501545
XM_038047209.1,88.75000678,631.3631916,572.4702761,916.9516846,622.8777598,769.8918699,nan,593.4320923,0.799799565,0.644845439,1.240296537,0.214865733,0.349849478
XM_038047210.1,112.7364951,812.0879714,725.5517265,1285.823128,828.6791988,1075.781794,nan,797.2615997,0.91179149,0.646375677,1.410621598,0.15835622,0.284592856
XM_038047211.1,88.75000678,631.3631916,572.4702761,916.9516846,622.8777598,769.8918699,nan,593.4320923,0.799799565,0.644845439,1.240296537,0.214865733,0.349849478
XM_038047212.1,1080.591299,990.4656761,805.2627776,724.3022264,768.471331,769.8918699,nan,844.2815988,-0.360955232,0.174740578,-2.065663488,0.038860265,0.120116122
XM_038047213.1,1035.016971,938.8300248,762.6898298,701.9011266,729.0625448,741.9897484,nan,806.7174548,-0.347349044,0.176015886,-1.973395992,0.048450464,0.136736329
XM_038047214.1,1199.324416,1330.79156,1134.976671,948.3132243,1001.639983,1093.349796,nan,1103.512554,-0.286285458,0.160420866,-1.784589906,0.07432786,0.176456409
XM_038047215.1,1199.324416,1330.79156,1134.976671,948.3132243,1001.639983,1093.349796,nan,1103.512554,-0.286285458,0.160420866,-1.784589906,0.07432786,0.176456409
XM_038047216.1,1199.324416,1330.79156,1134.976671,948.3132243,1001.639983,1093.349796,nan,1103.512554,-0.286285458,0.160420866,-1.784589906,0.07432786,0.176456409
XM_038047217.1,1199.324416,1330.79156,1134.976671,948.3132243,1001.639983,1093.349796,nan,1103.512554,-0.286285458,0.160420866,-1.784589906,0.07432786,0.176456409
XM_038047218.1,1178.935901,1317.491468,1126.824404,948.3132243,966.6099506,1067.514499,nan,1086.755422,-0.298648121,0.157536683,-1.895737017,0.057994828,0.152947922
XM_038047219.1,1178.935901,1317.491468,1126.824404,948.3132243,966.6099506,1067.514499,nan,1086.755422,-0.298648121,0.157536683,-1.895737017,0.057994828,0.152947922
XM_038047220.1,0,0,0,0,0,0,nan,0,NA,NA,NA,NA,NA
XM_038047221.1,1199.324416,1330.79156,1134.976671,948.3132243,1001.639983,1093.349796,nan,1103.512554,-0.286285458,0.160420866,-1.784589906,0.07432786,0.176456409
XM_038047222.1,1199.324416,1330.79156,1134.976671,948.3132243,1001.639983,1093.349796,nan,1103.512554,-0.286285458,0.160420866,-1.784589906,0.07432786,0.176456409
XM_038047223.1,1199.324416,1330.79156,1134.976671,948.3132243,1001.639983,1093.349796,nan,1103.512554,-0.286285458,0.160420866,-1.784589906,0.07432786,0.176456409
XM_038047224.1,1199.324416,1330.79156,1134.976671,948.3132243,1001.639983,1093.349796,nan,1103.512554,-0.286285458,0.160420866,-1.784589906,0.07432786,0.176456409
XM_038047225.1,1178.935901,1317.491468,1126.824404,948.3132243,966.6099506,1067.514499,nan,1086.755422,-0.298648121,0.157536683,-1.895737017,0.057994828,0.152947922
XM_038047226.1,1178.935901,1317.491468,1126.824404,948.3132243,966.6099506,1067.514499,nan,1086.755422,-0.298648121,0.157536683,-1.895737017,0.057994828,0.152947922
XM_038047227.1,1178.935901,1317.491468,1126.824404,948.3132243,966.6099506,1067.514499,nan,1086.755422,-0.298648121,0.157536683,-1.895737017,0.057994828,0.152947922
XM_038047228.1,1178.935901,1317.491468,1126.824404,948.3132243,966.6099506,1067.514499,nan,1086.755422,-0.298648121,0.157536683,-1.895737017,0.057994828,0.152947922
XM_038047229.1,1178.935901,1317.491468,1126.824404,948.3132243,966.6099506,1067.514499,nan,1086.755422,-0.298648121,0.157536683,-1.895737017,0.057994828,0.152947922
XM_038047230.1,1178.935901,1317.491468,1126.824404,948.3132243,966.6099506,1067.514499,nan,1086.755422,-0.298648121,0.157536683,-1.895737017,0.057994828,0.152947922
XM_038047231.1,1178.935901,1317.491468,1126.824404,948.3132243,966.6099506,1067.514499,nan,1086.755422,-0.298648121,0.157536683,-1.895737017,0.057994828,0.152947922
XM_038047232.1,1178.935901,1317.491468,1126.824404,948.3132243,966.6099506,1067.514499,nan,1086.755422,-0.298648121,0.157536683,-1.895737017,0.057994828,0.152947922
XM_038047233.1,35.97973248,97.79479425,129.530458,663.0725537,153.2563908,146.7444906,nan,200.6804142,1.830482077,0.724099396,2.527943105,0.011473294,0.065938008
XM_038047234.1,35.97973248,97.79479425,129.530458,663.0725537,153.2563908,146.7444906,nan,200.6804142,1.830482077,0.724099396,2.527943105,0.011473294,0.065938008
XM_038047235.1,0,0,0,0,1.094688506,0,nan,0.165380504,0.94493984,4.080472857,0.231576063,0.816867301,NA
XM_038047236.1,35.97973248,97.79479425,129.530458,663.0725537,153.2563908,146.7444906,nan,200.6804142,1.830482077,0.724099396,2.527943105,0.011473294,0.065938008
XM_038047237.1,35.97973248,97.79479425,129.530458,663.0725537,153.2563908,146.7444906,nan,200.6804142,1.830482077,0.724099396,2.527943105,0.011473294,0.065938008
XM_038047238.1,0,0,0,2.986813305,0,0,nan,0.485962158,2.414666631,3.995238109,0.604386163,0.545586933,NA
XM_038047239.1,2337.483287,1967.63126,1894.949078,2128.10448,2108.370062,1893.210612,nan,2024.34033,-0.030649336,0.148135602,-0.206900538,0.836087536,0.889630708
XM_038047240.1,2337.483287,1967.63126,1894.949078,2128.10448,2108.370062,1893.210612,nan,2024.34033,-0.030649336,0.148135602,-0.206900538,0.836087536,0.889630708
XM_038047241.1,2682.888718,3353.970263,3372.320946,5963.172763,4237.539206,3964.168071,nan,3871.438557,0.568174287,0.2441419,2.327229724,0.019953042,0.085701872
XM_038047242.1,2682.888718,3353.970263,3372.320946,5963.172763,4237.539206,3964.168071,nan,3871.438557,0.568174287,0.2441419,2.327229724,0.019953042,0.085701872
XM_038047243.1,2742.854939,4006.457131,4220.156671,7780.648659,5099.05906,5113.32211,nan,4756.925711,0.689106699,0.293716248,2.346164722,0.018967723,0.083171601
XM_038047244.1,2682.888718,3353.970263,3372.320946,5963.172763,4237.539206,3964.168071,nan,3871.438557,0.568174287,0.2441419,2.327229724,0.019953042,0.085701872
XM_038047245.1,2561.756952,3224.881135,3169.420089,5558.45956,4027.359013,3768.853221,nan,3664.121671,0.554392085,0.238009906,2.329281562,0.019844155,0.085424552
XM_038047246.1,2337.483287,1967.63126,1894.949078,2128.10448,2108.370062,1893.210612,nan,2024.34033,-0.030649336,0.148135602,-0.206900538,0.836087536,0.889630708
XM_038047247.1,0,0,0,0,0,0,IR80,0,NA,NA,NA,NA,NA
XM_038047248.1,2.398648832,12.51773366,0,10.45384657,5.473442529,1.033411906,nan,5.127111131,0.054295487,1.630915159,0.033291423,0.973442193,NA
XM_038047249.1,617.6520742,478.0209543,604.173535,588.4022211,524.3557943,592.1450221,nan,558.786986,-0.011766215,0.176057638,-0.066831607,0.946715761,0.965060143
XM_038047250.1,617.6520742,478.0209543,604.173535,588.4022211,524.3557943,592.1450221,nan,558.786986,-0.011766215,0.176057638,-0.066831607,0.946715761,0.965060143
XM_038047251.1,6962.078235,6575.721965,5985.575292,8590.075065,8417.059921,7358.926182,nan,7206.063114,0.304011524,0.141987428,2.141115789,0.032264702,0.108537667
XM_038047252.1,6962.078235,6575.721965,5985.575292,8590.075065,8417.059921,7358.926182,nan,7206.063114,0.304011524,0.141987428,2.141115789,0.032264702,0.108537667
XM_038047253.1,6761.791057,6109.436386,5474.699919,7401.323369,7715.364588,6556.998543,nan,6570.489903,0.225973627,0.154195803,1.465497904,0.142785124,0.265608809
XM_038047254.1,513.31085,555.4744313,382.2507223,843.7747586,791.4597897,565.2763125,nan,599.1507512,0.585020194,0.265332267,2.204858837,0.027464002,0.099611674
XM_038047255.1,513.31085,555.4744313,382.2507223,843.7747586,791.4597897,565.2763125,nan,599.1507512,0.585020194,0.265332267,2.204858837,0.027464002,0.099611674
XM_038047256.1,1.199324416,0,0,0,0,0,nan,0.159760951,-0.978613511,4.080472857,-0.239828458,0.810463245,NA
XM_038047257.1,3504.425943,1920.689759,2172.126142,1738.325343,1354.129682,1594.554571,nan,2012.764108,-0.705651729,0.274381522,-2.571790273,0.010117416,0.061408342
XM_038047258.1,5.99662208,1.564716708,0.905807399,1.493406652,1.094688506,1.033411906,nan,1.95402759,-1.583942637,1.562518427,-1.013711333,0.310720515,NA
XM_038047259.1,5.99662208,1.564716708,0.905807399,1.493406652,1.094688506,1.033411906,nan,1.95402759,-1.583942637,1.562518427,-1.013711333,0.310720515,NA
XM_038047260.1,221.8750169,618.845458,836.9660365,1774.167103,617.4043172,937.3045986,nan,821.963458,0.952523889,0.571786984,1.665871934,0.095738925,0.20558705
XM_038047261.1,803.5473587,891.8885235,870.4809103,1511.327532,882.3189356,1127.452389,nan,998.7683715,0.434862384,0.252946186,1.719189332,0.085579903,0.191519003
XM_038047262.1,803.5473587,891.8885235,870.4809103,1511.327532,882.3189356,1127.452389,nan,998.7683715,0.434862384,0.252946186,1.719189332,0.085579903,0.191519003
XM_038047263.1,803.5473587,891.8885235,870.4809103,1511.327532,882.3189356,1127.452389,nan,998.7683715,0.434862384,0.252946186,1.719189332,0.085579903,0.191519003
