Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Name
XM_038046706.1,833.7905087,2.042072335,0.134838316,15.14459984,8.22537472949563e-52,2.95344988097335e-50,nan
XM_038046707.1,852.0457758,2.023968841,0.135857813,14.89769925,3.41125063141569e-50,1.13689865217209e-48,nan
XM_038046708.1,353.5622852,-1.019985916,0.213731969,-4.772266508,1.82164236089902e-06,4.57101770135404e-06,nan
XM_038046709.1,18.88334648,-0.150901522,0.458267537,-0.329286954,0.741938804,0.804725237,nan
XM_038046710.1,0,NA,NA,NA,NA,NA,nan
XM_038046711.1,1017.656538,-0.35889759,0.086084323,-4.169139931,3.05751236627683e-05,6.7061328839794e-05,nan
XM_038046712.1,1116.900064,-1.088471284,0.221639544,-4.910997676,9.06141621887427e-07,2.34407439334699e-06,nan
XM_038046713.1,1843.549848,-1.771332135,0.242143281,-7.315223147,2.56954029235247e-13,1.26603391487783e-12,nan
XM_038046714.1,2200.280397,-0.333680144,0.131851112,-2.530734396,0.0113824,0.018181681,nan
XM_038046715.1,2540.412022,-2.102501483,0.25992885,-8.088757673,6.02763575052693e-16,3.82398062728812e-15,nan
XM_038046716.1,1721.615825,0.299596655,0.110574926,2.709444777,0.006739592,0.011126796,nan
XM_038046717.1,866.3192516,-2.433986807,0.304644419,-7.989599192,1.35378164128753e-15,8.29330342443541e-15,nan
XM_038046718.1,454.0627453,-1.049175833,0.168580709,-6.223581811,4.8593124251259e-10,1.72641410383355e-09,nan
XM_038046719.1,818.4915579,-1.302485938,0.279056827,-4.667457699,3.04949506665208e-06,7.4661935754902e-06,nan
XM_038046720.1,808.2927927,-1.279151557,0.277907714,-4.602792558,4.16863386766219e-06,1.00659452787178e-05,nan
XM_038046721.1,808.2927927,-1.279151557,0.277907714,-4.602792558,4.16863386766219e-06,1.00659452787178e-05,nan
XM_038046722.1,808.2927927,-1.279151557,0.277907714,-4.602792558,4.16863386766219e-06,1.00659452787178e-05,nan
XM_038046723.1,2.438713674,0.628670351,1.538343778,0.408667009,0.682784048,0.752543307,nan
XM_038046724.1,5.284465643,0.103286787,0.827373431,0.124836963,0.900652624,0.935294572,IR70
XM_038046725.1,365.5729539,1.35606786,0.19164543,7.075920678,1.48459768233392e-12,6.77335644494251e-12,nan
XM_038046726.1,605.2936178,0.912098601,0.138917541,6.565755461,5.17697158102326e-11,2.01603535476327e-10,nan
XM_038046727.1,0.554302075,0.633297085,1.551932304,0.408070045,0.683222251,0.7528576,nan
XM_038046728.1,3126.627973,0.317616367,0.106458608,2.983472856,0.002849973,0.004948323,nan
XM_038046729.1,3126.627973,0.317616367,0.106458608,2.983472856,0.002849973,0.004948323,nan
XM_038046730.1,3126.627973,0.317616367,0.106458608,2.983472856,0.002849973,0.004948323,nan
XM_038046731.1,0.073902586,0,3.662339012,0,1,1,nan
XM_038046732.1,9.385751243,3.732552303,1.189104401,3.13896097,0.00169548,0.003033096,nan
XM_038046733.1,9.385751243,3.732552303,1.189104401,3.13896097,0.00169548,0.003033096,nan
XM_038046734.1,17.47798779,-1.214367724,0.600128929,-2.023511393,0.04302045,0.062972743,nan
XM_038046735.1,5751.209829,1.248591215,0.088001841,14.18823968,1.08344356613013e-45,3.11676935117387e-44,nan
XM_038046736.1,5751.209829,1.248591215,0.088001841,14.18823968,1.08344356613013e-45,3.11676935117387e-44,nan
XM_038046737.1,5751.209829,1.248591215,0.088001841,14.18823968,1.08344356613013e-45,3.11676935117387e-44,nan
XM_038046738.1,0.03695528,0,3.662339012,0,1,1,nan
XM_038046739.1,14.00408875,-7.166624467,0.829793018,-8.636641079,5.78898992593274e-18,4.30169172864779e-17,nan
XM_038046740.1,1327.335714,0.369307608,0.092139837,4.008120931,6.12037799780626e-05,0.000129728,nan
XM_038046741.1,705.3491555,0.284966325,0.120452855,2.365791359,0.01799158,0.028004108,nan
XM_038046742.1,705.3491555,0.284966325,0.120452855,2.365791359,0.01799158,0.028004108,nan
XM_038046743.1,154.6116798,1.023638888,0.195176031,5.244695679,1.56540489179579e-07,4.38177975630013e-07,nan
XM_038046744.1,182.6583115,0.67072643,0.17530887,3.825969734,0.000130258,0.000266498,nan
XM_038046745.1,0.258688971,0,3.222524551,0,1,1,nan
