Gene,converted_alias,Gene-id,description,GO_Name,GO_Domain
XM_038057575.1,GO:0005272,LOC119653083,"pickpocket protein 28, transcript variant X1",sodium channel activity,molecular_function
XM_038057576.1,GO:0005272,LOC119653083,"pickpocket protein 28, transcript variant X1",sodium channel activity,molecular_function
XM_038057577.1,GO:0005576,LOC119653084,protein obstructor-E,extracellular region,cellular_component
XM_038057578.1,GO:0016020,LOC119653085,uncharacterized LOC119653085,membrane,cellular_component
XM_038057579.1,nan,,,,
XM_038057580.1,GO:0004520,LOC119653086,DNA fragmentation factor subunit beta,DNA endonuclease activity,molecular_function
XM_038057581.1,nan,,,,
XM_038057582.1,nan,,,,
XM_038057583.1,nan,,,,
XM_038057584.1,nan,,,,
XM_038057585.1,GO:0000792,LOC119653088,"uncharacterized LOC119653088, transcript variant X3",heterochromatin,cellular_component
XM_038057586.1,GO:0000792,LOC119653088,"uncharacterized LOC119653088, transcript variant X3",heterochromatin,cellular_component
XM_038057587.1,GO:0000792,LOC119653088,"uncharacterized LOC119653088, transcript variant X3",heterochromatin,cellular_component
XM_038057588.1,nan,,,,
XM_038057589.1,GO:0006508,LOC119653089,"inactive dipeptidyl peptidase 10, transcript variant X4",proteolysis,biological_process
XM_038057590.1,GO:0006508,LOC119653089,"inactive dipeptidyl peptidase 10, transcript variant X4",proteolysis,biological_process
XM_038057591.1,GO:0006508,LOC119653089,"inactive dipeptidyl peptidase 10, transcript variant X4",proteolysis,biological_process
XM_038057592.1,GO:0006508,LOC119653089,"inactive dipeptidyl peptidase 10, transcript variant X4",proteolysis,biological_process
XM_038057593.1,nan,,,,
XM_038057594.1,nan,,,,
XM_038057595.1,GO:0005515,LOC119653092,vacuolar protein sorting-associated protein 41 homolog,protein binding,molecular_function
XM_038057596.1,GO:0006486,LOC119653093,"beta-1,3-galactosyltransferase 6",protein glycosylation,biological_process
XM_038057597.1,nan,,,,
XM_038057598.1,nan,,,,
XM_038057599.1,nan,,,,
XM_038057600.1,nan,,,,
XM_038057601.1,GO:0005506,LOC119653095,2-oxoglutarate and iron-dependent oxygenase domain-containing protein 3-like,iron ion binding,molecular_function
XM_038057602.1,nan,,,,
XM_038057603.1,GO:0004222,LOC119653097,"A disintegrin and metalloproteinase with thrombospondin motifs adt-2-like, transcript variant X1",metalloendopeptidase activity,molecular_function
XM_038057604.1,GO:0004222,LOC119653097,"A disintegrin and metalloproteinase with thrombospondin motifs adt-2-like, transcript variant X1",metalloendopeptidase activity,molecular_function
XM_038057605.1,nan,,,,
XM_038057606.1,nan,,,,
XM_038057607.1,GO:0000045,LOC119653099,"RB1-inducible coiled-coil protein 1, transcript variant X4",autophagosome assembly,biological_process
XM_038057608.1,GO:0000045,LOC119653099,"RB1-inducible coiled-coil protein 1, transcript variant X4",autophagosome assembly,biological_process
XM_038057609.1,GO:0000045,LOC119653099,"RB1-inducible coiled-coil protein 1, transcript variant X4",autophagosome assembly,biological_process
XM_038057610.1,GO:0000045,LOC119653099,"RB1-inducible coiled-coil protein 1, transcript variant X4",autophagosome assembly,biological_process
XM_038057611.1,GO:0004089,LOC119653078,carbonic anhydrase-like,carbonate dehydratase activity,molecular_function
XM_038057612.1,GO:0000045,LOC119653099,"RB1-inducible coiled-coil protein 1, transcript variant X4",autophagosome assembly,biological_process
XM_038057613.1,GO:0000045,LOC119653099,"RB1-inducible coiled-coil protein 1, transcript variant X4",autophagosome assembly,biological_process
XM_038057614.1,GO:0016020,LOC119653100,tetraspanin-3-like,membrane,cellular_component
XM_038057615.1,nan,,,,
XM_038057616.1,GO:0008271,LOC119653101,sodium-independent sulfate anion transporter-like,secondary active sulfate transmembrane transporter activity,molecular_function
XM_038057617.1,GO:0004222,LOC119653102,disintegrin and metalloproteinase domain-containing protein 9,metalloendopeptidase activity,molecular_function
XM_038057618.1,GO:0004386,LOC119653103,NFX1-type zinc finger-containing protein 1,helicase activity,molecular_function
XM_038057619.1,GO:0004713,LOC119653104,"insulin-like receptor, transcript variant X3",protein tyrosine kinase activity,molecular_function
XM_038057620.1,GO:0004713,LOC119653104,"insulin-like receptor, transcript variant X3",protein tyrosine kinase activity,molecular_function
XM_038057621.1,GO:0004713,LOC119653104,"insulin-like receptor, transcript variant X3",protein tyrosine kinase activity,molecular_function
XM_038057622.1,nan,,,,
XM_038057623.1,nan,,,,
XM_038057624.1,nan,,,,
XM_038057625.1,GO:0003677,LOC119653107,"steroid hormone receptor ERR1, transcript variant X4",DNA binding,molecular_function
XM_038057626.1,GO:0003677,LOC119653107,"steroid hormone receptor ERR1, transcript variant X4",DNA binding,molecular_function
XM_038057627.1,GO:0003677,LOC119653107,"steroid hormone receptor ERR1, transcript variant X4",DNA binding,molecular_function
XM_038057628.1,GO:0003677,LOC119653107,"steroid hormone receptor ERR1, transcript variant X4",DNA binding,molecular_function
XM_038057629.1,nan,,,,
XM_038057630.1,nan,,,,
XM_038057631.1,nan,,,,
XM_038057632.1,nan,,,,
XM_038057633.1,nan,,,,
XM_038057634.1,nan,,,,
XM_038057635.1,nan,,,,
XM_038057636.1,nan,,,,
XM_038057637.1,nan,,,,
XM_038057638.1,nan,,,,
XM_038057639.1,nan,,,,
XM_038057640.1,nan,,,,
XM_038057641.1,nan,,,,
XM_038057642.1,GO:0016020,LOC119653118,uncharacterized LOC119653118,membrane,cellular_component
XM_038057643.1,nan,,,,
XM_038057644.1,GO:0004180,LOC119653119,zinc carboxypeptidase-like,carboxypeptidase activity,molecular_function
XM_038057645.1,GO:0000166,LOC119653120,"NAD(P) transhydrogenase, mitochondrial-like, transcript variant X1",nucleotide binding,molecular_function
XM_038057646.1,GO:0000166,LOC119653120,"NAD(P) transhydrogenase, mitochondrial-like, transcript variant X1",nucleotide binding,molecular_function
XM_038057647.1,GO:0000287,LOC119653121,"isocitrate dehydrogenase [NADP], mitochondrial-like",magnesium ion binding,molecular_function
XM_038057648.1,GO:0000981,LOC119653122,homeobox protein abdominal-B,"DNA-binding transcription factor activity, RNA polymerase II-specific",molecular_function
XM_038057649.1,GO:0006508,LOC119653123,dipeptidase 3,proteolysis,biological_process
XM_038057650.1,nan,,,,
XM_038057651.1,nan,,,,
XM_038057652.1,GO:0007059,LOC119653125,spindle and kinetochore-associated protein 1-like,chromosome segregation,biological_process
XM_038057653.1,GO:0004497,LOC119653126,probable cytochrome P450 9f2,monooxygenase activity,molecular_function
XM_038057654.1,GO:0005634,LOC119653127,"zinc finger protein OZF-like, transcript variant X2",nucleus,cellular_component
XM_038057655.1,GO:0005634,LOC119653127,"zinc finger protein OZF-like, transcript variant X2",nucleus,cellular_component
XM_038057656.1,GO:0004252,LOC119653128,venom protease,serine-type endopeptidase activity,molecular_function
XM_038057657.1,nan,,,,
XM_038057658.1,nan,,,,
XM_038057659.1,nan,,,,
XM_038057660.1,GO:0001732,LOC119653131,eukaryotic translation initiation factor 3 subunit A,formation of cytoplasmic translation initiation complex,biological_process
XM_038057661.1,GO:0000981,LOC119653132,homeotic protein deformed,"DNA-binding transcription factor activity, RNA polymerase II-specific",molecular_function
XM_038057662.1,nan,,,,
XM_038057663.1,GO:0000166,LOC119653134,"S-adenosylmethionine synthase, transcript variant X1",nucleotide binding,molecular_function
XM_038057664.1,GO:0000166,LOC119653134,"S-adenosylmethionine synthase, transcript variant X1",nucleotide binding,molecular_function
XM_038057665.1,GO:0000166,LOC119653134,"S-adenosylmethionine synthase, transcript variant X1",nucleotide binding,molecular_function
XM_038057666.1,GO:0000166,LOC119653134,"S-adenosylmethionine synthase, transcript variant X1",nucleotide binding,molecular_function
XM_038057667.1,nan,,,,
XM_038057668.1,GO:0000166,LOC119653137,probable multidrug resistance-associated protein lethal(2)03659,nucleotide binding,molecular_function
XM_038057669.1,GO:0005227,LOC119653135,calcium permeable stress-gated cation channel 1,calcium-activated cation channel activity,molecular_function
XM_038057670.1,nan,,,,
XM_038057671.1,nan,,,,
XM_038057672.1,GO:0005515,LOC119653140,"anosmin-1, transcript variant X2",protein binding,molecular_function
XM_038057673.1,GO:0005515,LOC119653140,"anosmin-1, transcript variant X2",protein binding,molecular_function
XM_038057674.1,GO:0005515,LOC119653140,"anosmin-1, transcript variant X2",protein binding,molecular_function
XM_038057675.1,GO:0005515,LOC119653140,"anosmin-1, transcript variant X2",protein binding,molecular_function
XM_038057676.1,GO:0016020,LOC119653141,uncharacterized LOC119653141,membrane,cellular_component
XM_038057677.1,GO:0016020,LOC119653143,uncharacterized LOC119653143,membrane,cellular_component
XM_038057678.1,GO:0016020,LOC119653144,uncharacterized LOC119653144,membrane,cellular_component
XM_038057679.1,GO:0004672,LOC119653142,obscurin,protein kinase activity,molecular_function
XM_038057680.1,GO:0000166,LOC119653146,"kinesin-like protein KIF19, transcript variant X3",nucleotide binding,molecular_function
XM_038057681.1,GO:0000166,LOC119653146,"kinesin-like protein KIF19, transcript variant X3",nucleotide binding,molecular_function
XM_038057682.1,GO:0000166,LOC119653146,"kinesin-like protein KIF19, transcript variant X3",nucleotide binding,molecular_function
XM_038057683.1,nan,,,,
XM_038057684.1,nan,,,,
XM_038057685.1,nan,,,,
XM_038057686.1,nan,,,,
XM_038057687.1,nan,,,,
XM_038057688.1,nan,,,,
XM_038057689.1,nan,,,,
XM_038057690.1,GO:0005576,LOC119653151,peritrophin-48-like,extracellular region,cellular_component
XM_038057691.1,GO:0015918,LOC119653152,ecdysteroid-regulated 16 kDa protein-like,sterol transport,biological_process
XM_038057692.1,GO:0000166,LOC119653149,"glutamine synthetase 1, mitochondrial-like",nucleotide binding,molecular_function
XM_038057693.1,GO:0005576,LOC119653153,probable chitinase 10,extracellular region,cellular_component
XM_038057694.1,GO:0046872,LOC119653154,probable cytosolic Fe-S cluster assembly factor GJ13047,metal ion binding,molecular_function
XM_038057695.1,GO:0000981,LOC119653155,homeotic protein Sex combs reduced,"DNA-binding transcription factor activity, RNA polymerase II-specific",molecular_function
XM_038057696.1,GO:0007605,LOC119653156,uncharacterized LOC119653156,sensory perception of sound,biological_process
XM_038057697.1,GO:0000220,LOC119653157,V-type proton ATPase 116 kDa subunit a1-like,"vacuolar proton-transporting V-type ATPase, V0 domain",cellular_component
XM_038057698.1,GO:0004970,LOC119653158,"glutamate receptor ionotropic, kainate 2-like",glutamate-gated receptor activity,molecular_function
XM_038057699.1,GO:0004930,LOC119653159,"neuropeptide F receptor, transcript variant X1",G protein-coupled receptor activity,molecular_function
XM_038057700.1,GO:0004930,LOC119653159,"neuropeptide F receptor, transcript variant X1",G protein-coupled receptor activity,molecular_function
XM_038057701.1,GO:0000981,LOC119653160,homeobox protein Hmx,"DNA-binding transcription factor activity, RNA polymerase II-specific",molecular_function
XM_038057702.1,GO:0005509,LOC119653161,cadherin-23,calcium ion binding,molecular_function
XM_038057703.1,nan,,,,
XM_038057704.1,GO:0006508,LOC119653164,"inactive dipeptidyl peptidase 10, transcript variant X2",proteolysis,biological_process
XM_038057705.1,GO:0006508,LOC119653164,"inactive dipeptidyl peptidase 10, transcript variant X2",proteolysis,biological_process
XM_038057706.1,GO:0006508,LOC119653164,"inactive dipeptidyl peptidase 10, transcript variant X2",proteolysis,biological_process
XM_038057707.1,GO:0006508,LOC119653164,"inactive dipeptidyl peptidase 10, transcript variant X2",proteolysis,biological_process
XM_038057708.1,GO:0005856,LOC119653165,transforming growth factor beta-1-induced transcript 1 protein,cytoskeleton,cellular_component
XM_038057709.1,GO:0016020,LOC119653166,CD63 antigen,membrane,cellular_component
XM_038057710.1,GO:0005925,LOC119653167,paxillin-like,focal adhesion,cellular_component
XM_038057711.1,GO:0016020,LOC119653170,"transmembrane protein 245, transcript variant X3",membrane,cellular_component
XM_038057712.1,GO:0016020,LOC119653170,"transmembrane protein 245, transcript variant X3",membrane,cellular_component
XM_038057713.1,GO:0016020,LOC119653170,"transmembrane protein 245, transcript variant X3",membrane,cellular_component
XM_038057714.1,GO:0016020,LOC119653168,putative inorganic phosphate cotransporter,membrane,cellular_component
XM_038057715.1,GO:0016020,LOC119653170,"transmembrane protein 245, transcript variant X3",membrane,cellular_component
XM_038057716.1,GO:0016020,LOC119653170,"transmembrane protein 245, transcript variant X3",membrane,cellular_component
XM_038057717.1,GO:0016020,LOC119653170,"transmembrane protein 245, transcript variant X3",membrane,cellular_component
XM_038057718.1,GO:0016491,LOC119653171,aldo-keto reductase family 1 member A1,oxidoreductase activity,molecular_function
XM_038057719.1,GO:0000506,LOC119653172,phosphatidylinositol N-acetylglucosaminyltransferase subunit H,glycosylphosphatidylinositol-N-acetylglucosaminyltransferase (GPI-GnT) complex,cellular_component
XM_038057720.1,GO:0000981,LOC119653173,homeobox protein MSX-2-like,"DNA-binding transcription factor activity, RNA polymerase II-specific",molecular_function
XM_038057721.1,GO:0000166,LOC119653174,eukaryotic translation elongation factor 2,nucleotide binding,molecular_function
XM_038057722.1,GO:0005576,LOC119653176,"ADAMTS-like protein 3, transcript variant X6",extracellular region,cellular_component
XM_038057723.1,GO:0005576,LOC119653176,"ADAMTS-like protein 3, transcript variant X6",extracellular region,cellular_component
XM_038057724.1,GO:0005576,LOC119653176,"ADAMTS-like protein 3, transcript variant X6",extracellular region,cellular_component
XM_038057725.1,GO:0005576,LOC119653176,"ADAMTS-like protein 3, transcript variant X6",extracellular region,cellular_component
XM_038057726.1,GO:0016020,LOC119653175,"putative inorganic phosphate cotransporter, transcript variant X2",membrane,cellular_component
XM_038057727.1,GO:0005576,LOC119653176,"ADAMTS-like protein 3, transcript variant X6",extracellular region,cellular_component
XM_038057728.1,GO:0005576,LOC119653176,"ADAMTS-like protein 3, transcript variant X6",extracellular region,cellular_component
XM_038057729.1,GO:0004252,LOC119653177,chymotrypsin-C-like,serine-type endopeptidase activity,molecular_function
XM_038057730.1,nan,,,,
XM_038057731.1,nan,,,,
XM_038057732.1,GO:0007165,LOC119653180,"uncharacterized LOC119653180, transcript variant X2",signal transduction,biological_process
XM_038057733.1,GO:0016020,LOC119653175,"putative inorganic phosphate cotransporter, transcript variant X2",membrane,cellular_component
XM_038057734.1,GO:0007165,LOC119653180,"uncharacterized LOC119653180, transcript variant X2",signal transduction,biological_process
XM_038057735.1,GO:0000166,LOC119653181,bifunctional glutamate/proline--tRNA ligase,nucleotide binding,molecular_function
XM_038057736.1,GO:0000981,LOC119653182,homeobox protein slou,"DNA-binding transcription factor activity, RNA polymerase II-specific",molecular_function
XM_038057737.1,GO:0000339,LOC119653184,"la-related protein 1, transcript variant X1",RNA cap binding,molecular_function
XM_038057738.1,GO:0000339,LOC119653184,"la-related protein 1, transcript variant X1",RNA cap binding,molecular_function
XM_038057739.1,nan,,,,
XM_038057740.1,GO:0000166,LOC119653187,"helicase SKI2W, transcript variant X1",nucleotide binding,molecular_function
XM_038057741.1,GO:0000166,LOC119653187,"helicase SKI2W, transcript variant X1",nucleotide binding,molecular_function
XM_038057742.1,GO:0000166,LOC119653187,"helicase SKI2W, transcript variant X1",nucleotide binding,molecular_function
XM_038057743.1,nan,,,,
XM_038057744.1,GO:0003824,LOC119653188,"fumarylacetoacetate hydrolase domain-containing protein 2, transcript variant X1",catalytic activity,molecular_function
XM_038057745.1,GO:0003824,LOC119653188,"fumarylacetoacetate hydrolase domain-containing protein 2, transcript variant X1",catalytic activity,molecular_function
XM_038057746.1,GO:0005794,LOC119653189,trafficking protein particle complex subunit 6b,Golgi apparatus,cellular_component
XM_038057747.1,nan,,,,
XM_038057748.1,GO:0000159,LOC119653191,"serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit epsilon isoform, transcript variant X2",protein phosphatase type 2A complex,cellular_component
XM_038057749.1,GO:0000159,LOC119653191,"serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit epsilon isoform, transcript variant X2",protein phosphatase type 2A complex,cellular_component
XM_038057750.1,GO:0004252,LOC119653192,"trypsin-3-like, transcript variant X2",serine-type endopeptidase activity,molecular_function
XM_038057751.1,GO:0004252,LOC119653192,"trypsin-3-like, transcript variant X2",serine-type endopeptidase activity,molecular_function
XM_038057752.1,GO:0004252,LOC119653192,"trypsin-3-like, transcript variant X2",serine-type endopeptidase activity,molecular_function
XM_038057753.1,GO:0004222,LOC119653193,"neprilysin-4, transcript variant X1",metalloendopeptidase activity,molecular_function
XM_038057754.1,GO:0004222,LOC119653193,"neprilysin-4, transcript variant X1",metalloendopeptidase activity,molecular_function
XM_038057755.1,GO:0003677,LOC119653196,"transcription factor MafB, transcript variant X2",DNA binding,molecular_function
XM_038057756.1,GO:0003677,LOC119653196,"transcription factor MafB, transcript variant X2",DNA binding,molecular_function
XM_038057757.1,GO:0005886,LOC119653194,integral membrane protein 2A,plasma membrane,cellular_component
XM_038057758.1,nan,,,,
XM_038057759.1,nan,,,,
XM_038057760.1,nan,,,,
XM_038057761.1,GO:0016020,LOC119653198,von Willebrand factor D and EGF domain-containing protein-like,membrane,cellular_component
XM_038057762.1,GO:0003779,LOC119653199,"nesprin-1, transcript variant X5",actin binding,molecular_function
XM_038057763.1,GO:0003779,LOC119653199,"nesprin-1, transcript variant X5",actin binding,molecular_function
XM_038057764.1,GO:0003779,LOC119653199,"nesprin-1, transcript variant X5",actin binding,molecular_function
XM_038057765.1,GO:0003779,LOC119653199,"nesprin-1, transcript variant X5",actin binding,molecular_function
XM_038057766.1,GO:0003779,LOC119653199,"nesprin-1, transcript variant X5",actin binding,molecular_function
XM_038057767.1,GO:0003779,LOC119653199,"nesprin-1, transcript variant X5",actin binding,molecular_function
XM_038057768.1,GO:0003779,LOC119653199,"nesprin-1, transcript variant X5",actin binding,molecular_function
XM_038057769.1,nan,,,,
XM_038057770.1,GO:0003723,LOC119653202,"laminin subunit alpha-1, transcript variant X1",RNA binding,molecular_function
XM_038057771.1,GO:0005634,LOC119653200,Krueppel-like factor luna,nucleus,cellular_component
XM_038057772.1,GO:0003723,LOC119653202,"laminin subunit alpha-1, transcript variant X1",RNA binding,molecular_function
XM_038057773.1,nan,,,,
XM_038057774.1,GO:0000166,LOC119653206,major heat shock 70 kDa protein Ba-like,nucleotide binding,molecular_function
XM_038057775.1,GO:0016020,LOC119653208,uncharacterized LOC119653208,membrane,cellular_component
XM_038057776.1,GO:0000287,LOC119653209,"protein phosphatase 1B, transcript variant X1",magnesium ion binding,molecular_function
XM_038057777.1,GO:0000287,LOC119653209,"protein phosphatase 1B, transcript variant X1",magnesium ion binding,molecular_function
XM_038057778.1,GO:0000287,LOC119653209,"protein phosphatase 1B, transcript variant X1",magnesium ion binding,molecular_function
XM_038057779.1,GO:0000287,LOC119653209,"protein phosphatase 1B, transcript variant X1",magnesium ion binding,molecular_function
XM_038057780.1,GO:0016020,LOC119653211,"uncharacterized LOC119653211, transcript variant X1",membrane,cellular_component
XM_038057781.1,GO:0016020,LOC119653211,"uncharacterized LOC119653211, transcript variant X1",membrane,cellular_component
XM_038057782.1,GO:0004930,LOC119653213,"D(3) dopamine receptor, transcript variant X1",G protein-coupled receptor activity,molecular_function
XM_038057783.1,GO:0004930,LOC119653213,"D(3) dopamine receptor, transcript variant X1",G protein-coupled receptor activity,molecular_function
XM_038057784.1,GO:0016020,LOC119653214,"uncharacterized LOC119653214, transcript variant X1",membrane,cellular_component
XM_038057785.1,GO:0003779,LOC119653215,"profilin, transcript variant X3",actin binding,molecular_function
XM_038057786.1,GO:0003779,LOC119653215,"profilin, transcript variant X3",actin binding,molecular_function
XM_038057787.1,GO:0003779,LOC119653215,"profilin, transcript variant X3",actin binding,molecular_function
XM_038057788.1,nan,,,,
XM_038057789.1,GO:0000166,LOC119653217,"diacylglycerol kinase theta, transcript variant X1",nucleotide binding,molecular_function
XM_038057790.1,GO:0000166,LOC119653217,"diacylglycerol kinase theta, transcript variant X1",nucleotide binding,molecular_function
XM_038057791.1,GO:0000166,LOC119653217,"diacylglycerol kinase theta, transcript variant X1",nucleotide binding,molecular_function
XM_038057792.1,GO:0000166,LOC119653217,"diacylglycerol kinase theta, transcript variant X1",nucleotide binding,molecular_function
XM_038057793.1,GO:0000166,LOC119653217,"diacylglycerol kinase theta, transcript variant X1",nucleotide binding,molecular_function
XM_038057794.1,GO:0001607,LOC119653219,pyrokinin-1 receptor-like,neuromedin U receptor activity,molecular_function
XM_038057795.1,GO:0005515,LOC119653220,"BTB/POZ domain-containing protein 6, transcript variant X1",protein binding,molecular_function
XM_038057796.1,GO:0005515,LOC119653220,"BTB/POZ domain-containing protein 6, transcript variant X1",protein binding,molecular_function
XM_038057797.1,GO:0005634,LOC119653221,transcription factor IIIB 90 kDa subunit,nucleus,cellular_component
XM_038057798.1,GO:0005739,LOC119653222,"trafficking kinesin-binding protein milt, transcript variant X5",mitochondrion,cellular_component
XM_038057799.1,GO:0005739,LOC119653222,"trafficking kinesin-binding protein milt, transcript variant X5",mitochondrion,cellular_component
XM_038057800.1,GO:0005739,LOC119653222,"trafficking kinesin-binding protein milt, transcript variant X5",mitochondrion,cellular_component
XM_038057801.1,GO:0005739,LOC119653222,"trafficking kinesin-binding protein milt, transcript variant X5",mitochondrion,cellular_component
XM_038057802.1,GO:0005739,LOC119653222,"trafficking kinesin-binding protein milt, transcript variant X5",mitochondrion,cellular_component
XM_038057803.1,GO:0005739,LOC119653222,"trafficking kinesin-binding protein milt, transcript variant X5",mitochondrion,cellular_component
XM_038057804.1,GO:0007049,LOC119653223,cyclin-dependent kinases regulatory subunit,cell cycle,biological_process
XM_038057805.1,GO:0000166,LOC119653225,"probable phospholipid-transporting ATPase IIA, transcript variant X2",nucleotide binding,molecular_function
XM_038057806.1,GO:0000166,LOC119653225,"probable phospholipid-transporting ATPase IIA, transcript variant X2",nucleotide binding,molecular_function
XM_038057807.1,GO:0000166,LOC119653225,"probable phospholipid-transporting ATPase IIA, transcript variant X2",nucleotide binding,molecular_function
XM_038057808.1,GO:0003677,LOC119653226,"uncharacterized LOC119653226, transcript variant X2",DNA binding,molecular_function
XM_038057809.1,GO:0003677,LOC119653226,"uncharacterized LOC119653226, transcript variant X2",DNA binding,molecular_function
XM_038057810.1,GO:0003677,LOC119653226,"uncharacterized LOC119653226, transcript variant X2",DNA binding,molecular_function
XM_038057811.1,GO:0003713,LOC119653227,"serine-rich adhesin for platelets, transcript variant X2",transcription coactivator activity,molecular_function
XM_038057812.1,GO:0003713,LOC119653227,"serine-rich adhesin for platelets, transcript variant X2",transcription coactivator activity,molecular_function
XM_038057813.1,GO:0003713,LOC119653227,"serine-rich adhesin for platelets, transcript variant X2",transcription coactivator activity,molecular_function
XM_038057814.1,GO:0003713,LOC119653227,"serine-rich adhesin for platelets, transcript variant X2",transcription coactivator activity,molecular_function
XM_038057815.1,GO:0005515,LOC119653228,protein phosphatase PHLPP-like protein,protein binding,molecular_function
XM_038057816.1,GO:0005515,LOC119653229,WD repeat and FYVE domain-containing protein 3,protein binding,molecular_function
XM_038057817.1,GO:0005509,LOC119653230,"sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1, transcript variant X3",calcium ion binding,molecular_function
XM_038057818.1,GO:0005509,LOC119653230,"sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1, transcript variant X3",calcium ion binding,molecular_function
XM_038057819.1,GO:0005509,LOC119653230,"sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1, transcript variant X3",calcium ion binding,molecular_function
XM_038057820.1,GO:0005509,LOC119653230,"sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1, transcript variant X3",calcium ion binding,molecular_function
XM_038057821.1,GO:0000166,LOC119653232,probable ATP-dependent RNA helicase DDX43,nucleotide binding,molecular_function
XM_038057822.1,GO:0000166,LOC119653233,"succinate--CoA ligase [GDP-forming] subunit beta, mitochondrial",nucleotide binding,molecular_function
XM_038057823.1,GO:0000166,LOC119653234,X-ray repair cross-complementing protein 5-like,nucleotide binding,molecular_function
XM_038057824.1,GO:0002953,LOC119653235,uncharacterized LOC119653235,5'-deoxynucleotidase activity,molecular_function
XM_038057825.1,GO:0003676,LOC119653236,"putative mediator of RNA polymerase II transcription subunit 26, transcript variant X6",nucleic acid binding,molecular_function
XM_038057826.1,GO:0003676,LOC119653236,"putative mediator of RNA polymerase II transcription subunit 26, transcript variant X6",nucleic acid binding,molecular_function
XM_038057827.1,GO:0003676,LOC119653218,uncharacterized LOC119653218,nucleic acid binding,molecular_function
XM_038057828.1,GO:0003676,LOC119653236,"putative mediator of RNA polymerase II transcription subunit 26, transcript variant X6",nucleic acid binding,molecular_function
XM_038057829.1,GO:0003676,LOC119653236,"putative mediator of RNA polymerase II transcription subunit 26, transcript variant X6",nucleic acid binding,molecular_function
XM_038057830.1,GO:0003676,LOC119653236,"putative mediator of RNA polymerase II transcription subunit 26, transcript variant X6",nucleic acid binding,molecular_function
XM_038057831.1,GO:0003676,LOC119653236,"putative mediator of RNA polymerase II transcription subunit 26, transcript variant X6",nucleic acid binding,molecular_function
XM_038057832.1,GO:0003676,LOC119653236,"putative mediator of RNA polymerase II transcription subunit 26, transcript variant X6",nucleic acid binding,molecular_function
XM_038057833.1,GO:0003676,LOC119653236,"putative mediator of RNA polymerase II transcription subunit 26, transcript variant X6",nucleic acid binding,molecular_function
XM_038057834.1,GO:0003676,LOC119653236,"putative mediator of RNA polymerase II transcription subunit 26, transcript variant X6",nucleic acid binding,molecular_function
XM_038057835.1,GO:0003676,LOC119653236,"putative mediator of RNA polymerase II transcription subunit 26, transcript variant X6",nucleic acid binding,molecular_function
XM_038057836.1,GO:0003676,LOC119653237,protein shuttle craft,nucleic acid binding,molecular_function
XM_038057837.1,GO:0005092,LOC119653238,rab GDP dissociation inhibitor alpha,GDP-dissociation inhibitor activity,molecular_function
XM_038057838.1,GO:0005634,LOC119653239,nuclear pore complex protein Nup107,nucleus,cellular_component
XM_038057839.1,GO:0005886,LOC119653240,"solute carrier family 52, riboflavin transporter, member 3-B",plasma membrane,cellular_component
XM_038057840.1,GO:0004325,LOC119653241,"ferrochelatase, mitochondrial",ferrochelatase activity,molecular_function
XM_038057841.1,GO:0005515,LOC119653242,"uncharacterized protein DDB_G0283357, transcript variant X1",protein binding,molecular_function
XM_038057842.1,GO:0005515,LOC119653242,"uncharacterized protein DDB_G0283357, transcript variant X1",protein binding,molecular_function
XM_038057843.1,nan,,,,
XM_038057844.1,nan,,,,
XM_038057845.1,nan,,,,
XM_038057846.1,GO:0006869,LOC119653246,"oxysterol-binding protein-related protein 8, transcript variant X1",lipid transport,biological_process
XM_038057847.1,GO:0006869,LOC119653246,"oxysterol-binding protein-related protein 8, transcript variant X1",lipid transport,biological_process
XM_038057848.1,GO:0006869,LOC119653246,"oxysterol-binding protein-related protein 8, transcript variant X1",lipid transport,biological_process
XM_038057849.1,GO:0006869,LOC119653246,"oxysterol-binding protein-related protein 8, transcript variant X1",lipid transport,biological_process
XM_038057850.1,GO:0006869,LOC119653246,"oxysterol-binding protein-related protein 8, transcript variant X1",lipid transport,biological_process
XM_038057851.1,GO:0006869,LOC119653246,"oxysterol-binding protein-related protein 8, transcript variant X1",lipid transport,biological_process
XM_038057852.1,nan,,,,
XM_038057853.1,nan,,,,
XM_038057854.1,nan,,,,
XM_038057855.1,GO:0003677,LOC119653249,"transcription factor cwo, transcript variant X3",DNA binding,molecular_function
XM_038057856.1,GO:0003677,LOC119653249,"transcription factor cwo, transcript variant X3",DNA binding,molecular_function
XM_038057857.1,GO:0003677,LOC119653249,"transcription factor cwo, transcript variant X3",DNA binding,molecular_function
XM_038057858.1,GO:0000139,LOC119653250,"alpha-1,6-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase",Golgi membrane,cellular_component
XM_038057859.1,GO:0016020,LOC119653252,sialin-like,membrane,cellular_component
XM_038057860.1,GO:0016020,LOC119653253,putative inorganic phosphate cotransporter,membrane,cellular_component
XM_038057861.1,GO:0016020,LOC119653254,"uncharacterized LOC119653254, transcript variant X3",membrane,cellular_component
