Gene,converted_alias,Gene-id,description,GO_Name,GO_Domain
XM_038049112.1,GO:0008509,LOC119647848,"solute carrier family 26 member 6, transcript variant X3",monoatomic anion transmembrane transporter activity,molecular_function
XM_038049113.1,GO:0008509,LOC119647848,"solute carrier family 26 member 6, transcript variant X3",monoatomic anion transmembrane transporter activity,molecular_function
XM_038049114.1,GO:0005509,LOC119647833,"neural-cadherin, transcript variant X2",calcium ion binding,molecular_function
XM_038049115.1,GO:0008509,LOC119647848,"solute carrier family 26 member 6, transcript variant X3",monoatomic anion transmembrane transporter activity,molecular_function
XM_038049116.1,GO:0008509,LOC119647848,"solute carrier family 26 member 6, transcript variant X3",monoatomic anion transmembrane transporter activity,molecular_function
XM_038049117.1,GO:0005515,LOC119647850,solute carrier organic anion transporter family member 74D,protein binding,molecular_function
XM_038049118.1,GO:0000166,LOC119647851,"unconventional myosin IC, transcript variant X1",nucleotide binding,molecular_function
XM_038049119.1,GO:0000166,LOC119647851,"unconventional myosin IC, transcript variant X1",nucleotide binding,molecular_function
XM_038049120.1,GO:0000166,LOC119647853,major heat shock 70 kDa protein Ab,nucleotide binding,molecular_function
XM_038049121.1,GO:0005509,LOC119647833,"neural-cadherin, transcript variant X2",calcium ion binding,molecular_function
XM_038049122.1,GO:0000166,LOC119647854,membrane-associated tyrosine- and threonine-specific cdc2-inhibitory kinase,nucleotide binding,molecular_function
XM_038049123.1,GO:0003824,LOC119647855,ras-like protein 2,catalytic activity,molecular_function
XM_038049124.1,GO:0003676,LOC119647856,RNA-binding protein Musashi homolog Rbp6,nucleic acid binding,molecular_function
XM_038049125.1,nan,,,,
XM_038049126.1,GO:0003676,LOC119647858,putative uncharacterized protein DDB_G0277255,nucleic acid binding,molecular_function
XM_038049127.1,nan,,,,
XM_038049128.1,GO:0005509,LOC119647833,"neural-cadherin, transcript variant X2",calcium ion binding,molecular_function
XM_038049129.1,nan,,,,
XM_038049130.1,GO:0005261,LOC119647861,mucolipin-3-like,monoatomic cation channel activity,molecular_function
XM_038049131.1,GO:0004725,LOC119647862,"tyrosine-protein phosphatase non-receptor type 23, transcript variant X1",protein tyrosine phosphatase activity,molecular_function
XM_038049132.1,GO:0004725,LOC119647862,"tyrosine-protein phosphatase non-receptor type 23, transcript variant X1",protein tyrosine phosphatase activity,molecular_function
XM_038049133.1,GO:0003676,LOC119647863,R3H and coiled-coil domain-containing protein 1,nucleic acid binding,molecular_function
XM_038049134.1,nan,,,,
XM_038049135.1,GO:0005509,LOC119647833,"neural-cadherin, transcript variant X2",calcium ion binding,molecular_function
XM_038049136.1,GO:0005524,LOC119647866,protein suppressor of underreplication,ATP binding,molecular_function
XM_038049137.1,nan,,,,
XM_038049138.1,GO:0005637,LOC119647868,nurim homolog,nuclear inner membrane,cellular_component
XM_038049139.1,GO:0016020,LOC119647869,uncharacterized LOC119647869,membrane,cellular_component
XM_038049140.1,GO:0000166,LOC119647870,major heat shock 70 kDa protein Ab-like,nucleotide binding,molecular_function
XM_038049141.1,GO:0004181,LOC119647871,"cytosolic carboxypeptidase-like protein 5, transcript variant X2",metallocarboxypeptidase activity,molecular_function
XM_038049142.1,GO:0005509,LOC119647833,"neural-cadherin, transcript variant X2",calcium ion binding,molecular_function
XM_038049143.1,GO:0004181,LOC119647871,"cytosolic carboxypeptidase-like protein 5, transcript variant X2",metallocarboxypeptidase activity,molecular_function
XM_038049144.1,GO:0004181,LOC119647871,"cytosolic carboxypeptidase-like protein 5, transcript variant X2",metallocarboxypeptidase activity,molecular_function
XM_038049145.1,nan,,,,
XM_038049146.1,nan,,,,
XM_038049147.1,nan,,,,
XM_038049148.1,nan,,,,
XM_038049149.1,nan,,,,
XM_038049150.1,nan,,,,
XM_038049151.1,nan,,,,
XM_038049152.1,nan,,,,
XM_038049153.1,GO:0005509,LOC119647833,"neural-cadherin, transcript variant X2",calcium ion binding,molecular_function
XM_038049154.1,nan,,,,
XM_038049155.1,nan,,,,
XM_038049156.1,nan,,,,
XM_038049157.1,nan,,,,
XM_038049158.1,nan,,,,
XM_038049159.1,nan,,,,
XM_038049160.1,nan,,,,
XM_038049161.1,nan,,,,
XM_038049162.1,nan,,,,
XM_038049163.1,nan,,,,
XM_038049164.1,nan,,,,
XM_038049165.1,nan,,,,
XM_038049166.1,nan,,,,
XM_038049167.1,GO:0004984,LOC119647879,uncharacterized LOC119647879,olfactory receptor activity,molecular_function
XM_038049168.1,GO:0003743,LOC119647880,eukaryotic translation initiation factor eIF1,translation initiation factor activity,molecular_function
XM_038049169.1,GO:0005515,LOC119647882,RNA polymerase-associated protein CTR9 homolog,protein binding,molecular_function
XM_038049170.1,GO:0000139,LOC119647883,"galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase P, transcript variant X1",Golgi membrane,cellular_component
XM_038049171.1,GO:0000139,LOC119647883,"galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase P, transcript variant X1",Golgi membrane,cellular_component
XM_038049172.1,GO:0008484,LOC119647884,"arylsulfatase B-like, transcript variant X8",sulfuric ester hydrolase activity,molecular_function
XM_038049173.1,GO:0008484,LOC119647884,"arylsulfatase B-like, transcript variant X8",sulfuric ester hydrolase activity,molecular_function
XM_038049174.1,GO:0008484,LOC119647884,"arylsulfatase B-like, transcript variant X8",sulfuric ester hydrolase activity,molecular_function
XM_038049175.1,GO:0008484,LOC119647884,"arylsulfatase B-like, transcript variant X8",sulfuric ester hydrolase activity,molecular_function
XM_038049176.1,GO:0008484,LOC119647884,"arylsulfatase B-like, transcript variant X8",sulfuric ester hydrolase activity,molecular_function
XM_038049177.1,GO:0008484,LOC119647884,"arylsulfatase B-like, transcript variant X8",sulfuric ester hydrolase activity,molecular_function
XM_038049178.1,GO:0008484,LOC119647884,"arylsulfatase B-like, transcript variant X8",sulfuric ester hydrolase activity,molecular_function
XM_038049179.1,GO:0008484,LOC119647884,"arylsulfatase B-like, transcript variant X8",sulfuric ester hydrolase activity,molecular_function
XM_038049180.1,GO:0016020,LOC119647886,tetraspanin-11,membrane,cellular_component
XM_038049181.1,GO:0005737,LOC119647887,"tectonin beta-propeller repeat-containing protein, transcript variant X4",cytoplasm,cellular_component
XM_038049182.1,GO:0005634,LOC119647885,YEATS domain-containing protein 2,nucleus,cellular_component
XM_038049183.1,GO:0005737,LOC119647887,"tectonin beta-propeller repeat-containing protein, transcript variant X4",cytoplasm,cellular_component
XM_038049184.1,GO:0005737,LOC119647887,"tectonin beta-propeller repeat-containing protein, transcript variant X4",cytoplasm,cellular_component
XM_038049185.1,GO:0005737,LOC119647887,"tectonin beta-propeller repeat-containing protein, transcript variant X4",cytoplasm,cellular_component
XM_038049186.1,GO:0004620,LOC119647888,"putative phospholipase B-like lamina ancestor, transcript variant X3",phospholipase activity,molecular_function
XM_038049187.1,GO:0004620,LOC119647888,"putative phospholipase B-like lamina ancestor, transcript variant X3",phospholipase activity,molecular_function
XM_038049188.1,GO:0004620,LOC119647888,"putative phospholipase B-like lamina ancestor, transcript variant X3",phospholipase activity,molecular_function
XM_038049189.1,GO:0005096,LOC119647889,"GTPase-activating protein, transcript variant X1",GTPase activator activity,molecular_function
XM_038049190.1,GO:0005096,LOC119647889,"GTPase-activating protein, transcript variant X1",GTPase activator activity,molecular_function
XM_038049191.1,GO:0005524,LOC119647892,major heat shock 70 kDa protein Ab-like,ATP binding,molecular_function
XM_038049192.1,nan,,,,
XM_038049193.1,GO:0004888,LOC119647894,"G-protein coupled receptor Mth2-like, transcript variant X3",transmembrane signaling receptor activity,molecular_function
XM_038049194.1,GO:0004180,LOC119647891,angiotensin-converting enzyme-like protein Ace3,carboxypeptidase activity,molecular_function
XM_038049195.1,GO:0004888,LOC119647894,"G-protein coupled receptor Mth2-like, transcript variant X3",transmembrane signaling receptor activity,molecular_function
XM_038049196.1,GO:0004888,LOC119647894,"G-protein coupled receptor Mth2-like, transcript variant X3",transmembrane signaling receptor activity,molecular_function
XM_038049197.1,GO:0004888,LOC119647894,"G-protein coupled receptor Mth2-like, transcript variant X3",transmembrane signaling receptor activity,molecular_function
XM_038049198.1,GO:0004888,LOC119647895,"G-protein coupled receptor Mth2-like, transcript variant X4",transmembrane signaling receptor activity,molecular_function
XM_038049199.1,GO:0015293,LOC119647873,sodium- and chloride-dependent GABA transporter 1-like,symporter activity,molecular_function
XM_038049200.1,GO:0004888,LOC119647895,"G-protein coupled receptor Mth2-like, transcript variant X4",transmembrane signaling receptor activity,molecular_function
XM_038049201.1,GO:0004984,LOC119647896,"putative odorant receptor 92a, transcript variant X1",olfactory receptor activity,molecular_function
XM_038049202.1,GO:0004984,LOC119647896,"putative odorant receptor 92a, transcript variant X1",olfactory receptor activity,molecular_function
XM_038049203.1,GO:0004984,LOC119647897,"odorant receptor 67c-like, transcript variant X2",olfactory receptor activity,molecular_function
XM_038049204.1,GO:0004984,LOC119647897,"odorant receptor 67c-like, transcript variant X2",olfactory receptor activity,molecular_function
XM_038049205.1,GO:0004984,LOC119647899,putative odorant receptor 92a,olfactory receptor activity,molecular_function
XM_038049206.1,GO:0000166,LOC119647900,delta-1-pyrroline-5-carboxylate synthase,nucleotide binding,molecular_function
XM_038049207.1,GO:0006952,LOC119647898,defensin-like,defense response,biological_process
XM_038049208.1,GO:0004553,LOC119647901,uncharacterized LOC119647901,"hydrolase activity, hydrolyzing O-glycosyl compounds",molecular_function
XM_038049209.1,GO:0000166,LOC119647902,serine/threonine-protein kinase tricornered,nucleotide binding,molecular_function
XM_038049210.1,GO:0005634,LOC119647903,"transcription initiation factor TFIID subunit 11, transcript variant X1",nucleus,cellular_component
XM_038049211.1,GO:0005634,LOC119647903,"transcription initiation factor TFIID subunit 11, transcript variant X1",nucleus,cellular_component
XM_038049212.1,nan,,,,
XM_038049213.1,GO:0005524,LOC119647905,major heat shock 70 kDa protein Ab-like,ATP binding,molecular_function
XM_038049214.1,GO:0006508,LOC119647906,"protein split ends, transcript variant X3",proteolysis,biological_process
XM_038049215.1,GO:0006508,LOC119647906,"protein split ends, transcript variant X3",proteolysis,biological_process
XM_038049216.1,GO:0006508,LOC119647906,"protein split ends, transcript variant X3",proteolysis,biological_process
XM_038049217.1,GO:0006508,LOC119647906,"protein split ends, transcript variant X3",proteolysis,biological_process
XM_038049218.1,GO:0005515,LOC119647908,"protein phosphatase 1 regulatory subunit 3C, transcript variant X5",protein binding,molecular_function
XM_038049219.1,GO:0005515,LOC119647908,"protein phosphatase 1 regulatory subunit 3C, transcript variant X5",protein binding,molecular_function
XM_038049220.1,GO:0006869,LOC119647907,"vacuolar protein sorting-associated protein 13, transcript variant X2",lipid transport,biological_process
XM_038049221.1,GO:0005515,LOC119647908,"protein phosphatase 1 regulatory subunit 3C, transcript variant X5",protein binding,molecular_function
XM_038049222.1,GO:0005515,LOC119647908,"protein phosphatase 1 regulatory subunit 3C, transcript variant X5",protein binding,molecular_function
XM_038049223.1,GO:0005515,LOC119647908,"protein phosphatase 1 regulatory subunit 3C, transcript variant X5",protein binding,molecular_function
XM_038049224.1,GO:0005515,LOC119647908,"protein phosphatase 1 regulatory subunit 3C, transcript variant X5",protein binding,molecular_function
XM_038049225.1,GO:0005515,LOC119647908,"protein phosphatase 1 regulatory subunit 3C, transcript variant X5",protein binding,molecular_function
XM_038049226.1,GO:0005515,LOC119647908,"protein phosphatase 1 regulatory subunit 3C, transcript variant X5",protein binding,molecular_function
XM_038049227.1,nan,,,,
XM_038049228.1,nan,,,,
