Gene_ID,Family,Antenna,Palp,Tarsi,Expr_Status,Antenna_Biased,Palp_Biased,Tarsi_Biased,Antenna_Specific,Palp_Specific,Tarsi_Specific,Antenna_Class,Palp_Class,Tarsi_Class,Cluster_Rep,Is_Duplicate
OR177,OR,115.09177846555556,20.96645862555556,487.31355054444447,Expressed,False,False,True,False,False,False,Expressed,Expressed,Tarsi-biased,OR177,False
OR170,OR,544.3355935888889,209.0336292888889,124.31222309666668,Expressed,True,False,False,False,False,False,Antenna-biased,Expressed,Expressed,OR170,False
OR169,OR,544.3355935888889,209.0336292888889,124.31222309666668,Expressed,True,False,False,False,False,False,Antenna-biased,Expressed,Expressed,OR169,False
OR176,OR,544.3355935888889,209.0336292888889,124.31222309666668,Expressed,True,False,False,False,False,False,Antenna-biased,Expressed,Expressed,OR176,False
OR166,OR,197.25961511666668,3.2270982705555555,3.808506454555556,Expressed,True,False,False,True,False,False,Antenna-specific,Not expressed,Not expressed,OR166,False
OR174,OR,187.32169025555555,7.615787131888889,18.319058706,Expressed,True,False,False,False,False,False,Antenna-biased,Not expressed,Expressed,OR174,False
OR89,OR,273.57428582222224,0.3355789073333333,1.4626836676666666,Expressed,True,False,False,True,False,False,Antenna-specific,Not expressed,Not expressed,OR89,False
OR116,OR,120.8784518111111,0.5381991135555555,1.6593407244444445,Expressed,True,False,False,True,False,False,Antenna-specific,Not expressed,Not expressed,OR116,False
OR142,OR,0.2606817672222222,0.6038377478888889,3.71677246,Not expressed,False,False,False,False,False,False,Not expressed,Not expressed,Not expressed,OR142,False
OR167,OR,28.41667030777778,0.227929175,0.7938191917777778,Expressed,True,False,False,True,False,False,Antenna-specific,Not expressed,Not expressed,OR167,False
OR193,OR,24.38828297522222,0.5645900294444445,15.146774573888887,Expressed,False,False,False,False,False,False,Expressed,Not expressed,Expressed,OR193,False
OR192,OR,24.38828297522222,0.5645900294444445,15.146774573888887,Expressed,False,False,False,False,False,False,Expressed,Not expressed,Expressed,OR192,False
OR178,OR,112.72327576744443,0.4553887653333333,5.880424519666667,Expressed,True,False,False,True,False,False,Antenna-specific,Not expressed,Not expressed,OR178,False
OR190,OR,112.72327576744443,0.4553887653333333,5.880424519666667,Expressed,True,False,False,True,False,False,Antenna-specific,Not expressed,Not expressed,OR190,False
OR164,OR,40.93542630555555,0.0,0.0,Expressed,True,False,False,True,False,False,Antenna-specific,Not expressed,Not expressed,OR164,False
OR191,OR,158.51926263666667,31.965172794444445,51.49888920888889,Expressed,True,False,False,False,False,False,Antenna-biased,Expressed,Expressed,OR191,False
OR163,OR,337.8809784333333,149.00272006666663,470.46015396666667,Expressed,False,False,False,False,False,False,Expressed,Expressed,Expressed,OR163,False
OR194,OR,12.580268758,0.1461158515555555,1.8392897923333331,Expressed,False,False,False,True,False,False,Antenna-specific,Not expressed,Not expressed,OR194,False
OR141,OR,691.9027892666667,0.0769379101111111,0.0,Expressed,True,False,False,True,False,False,Antenna-specific,Not expressed,Not expressed,OR141,False
OR197,OR,13.037748597333334,9.700232324777778,16.56075716711111,Expressed,False,False,False,False,False,False,Expressed,Not expressed,Expressed,OR197,False
OR198,OR,1.432836298777778,2.3113692914444446,13.108961814333334,Expressed,False,False,False,False,False,True,Not expressed,Not expressed,Tarsi-specific,OR198,False
OR146,OR,0.0,0.1499958358888888,0.5667580496666667,Not expressed,False,False,False,False,False,False,Not expressed,Not expressed,Not expressed,OR146,False
OR189,OR,0.0,0.5033092655555556,0.0,Not expressed,False,False,False,False,False,False,Not expressed,Not expressed,Not expressed,OR189,False
OR185,OR,13.343632755888889,9.518592642777778,242.14539248111112,Expressed,False,False,True,False,False,False,Expressed,Not expressed,Tarsi-biased,OR185,False
OR137,OR,1.8727217018888889,0.8934531458888889,10.247796072666668,Expressed,False,False,False,False,False,True,Not expressed,Not expressed,Tarsi-specific,OR137,False
OR162,OR,1.6915850689999998,0.241773638,0.2432641123333333,Not expressed,False,False,False,False,False,False,Not expressed,Not expressed,Not expressed,OR162,False
OR145,OR,1.8647979387777776,0.9388646324444444,4.459408634555556,Not expressed,False,False,False,False,False,False,Not expressed,Not expressed,Not expressed,OR145,False
OR64,OR,78.54719826422222,0.178681248,0.6205947612222222,Expressed,True,False,False,True,False,False,Antenna-specific,Not expressed,Not expressed,OR64,False
OR61,OR,810.9829091444444,0.6727071013333333,11.048892225444444,Expressed,True,False,False,False,False,False,Antenna-biased,Not expressed,Expressed,OR61,False
OR69,OR,266.4941765111111,2.6755505822222223,8.803915482555556,Expressed,True,False,False,True,False,False,Antenna-specific,Not expressed,Not expressed,OR69,False
OR62,OR,158.35921623222222,0.0,1.5059436934444443,Expressed,True,False,False,True,False,False,Antenna-specific,Not expressed,Not expressed,OR62,False
OR65,OR,158.35921623222222,0.0,1.5059436934444443,Expressed,True,False,False,True,False,False,Antenna-specific,Not expressed,Not expressed,OR65,False
OR98,OR,158.35921623222222,0.0,1.5059436934444443,Expressed,True,False,False,True,False,False,Antenna-specific,Not expressed,Not expressed,OR62,True
OR56,OR,342.521986,1.1026463235555557,18.918549193222223,Expressed,True,False,False,False,False,False,Antenna-biased,Not expressed,Expressed,OR56,False
OR80,OR,342.521986,1.1026463235555557,18.918549193222223,Expressed,True,False,False,False,False,False,Antenna-biased,Not expressed,Expressed,OR80,False
OR50,OR,640.1372635111111,0.5359221374444444,15.235702794555555,Expressed,True,False,False,False,False,False,Antenna-biased,Not expressed,Expressed,OR50,False
OR67,OR,450.6033651333333,0.5855953091111111,2.9133725768888885,Expressed,True,False,False,True,False,False,Antenna-specific,Not expressed,Not expressed,OR67,False
