Gene,Ant_VF1,Ant_VF2,Ant_VF3,Ant_Vm1,Ant_Vm2,Ant_Vm3,Name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
XM_038046509.1,4296.610362,4231.176467,3738.148669,5372.869763,5387.198136,5878.512502,nan,4777.269311,0.454246571,0.156483314,2.902843495,0.003697914,0.034624882
XM_038046510.1,4175.595317,4037.230073,3587.752005,4292.432975,5289.190333,5714.460991,nan,4478.457593,0.388908683,0.186375552,2.086693669,0.036915834,0.19128048
XM_038046511.1,2340.776729,2358.807495,2057.070165,2005.927215,3560.591171,3606.945904,nan,2633.925711,0.456339318,0.264992543,1.72208362,0.085054372,0.324204154
XM_038046512.1,3246.660781,2824.278841,2614.131494,3999.291211,4103.403618,3996.294825,nan,3434.572065,0.49236363,0.167457943,2.940222601,0.003279765,0.031454242
XM_038046513.1,3246.660781,2824.278841,2614.131494,3999.291211,4103.403618,3996.294825,nan,3434.572065,0.49236363,0.167457943,2.940222601,0.003279765,0.031454242
XM_038046514.1,3246.660781,2824.278841,2614.131494,3999.291211,4103.403618,3996.294825,nan,3434.572065,0.49236363,0.167457943,2.940222601,0.003279765,0.031454242
XM_038046515.1,3246.660781,2824.278841,2614.131494,3999.291211,4103.403618,3996.294825,nan,3434.572065,0.49236363,0.167457943,2.940222601,0.003279765,0.031454242
XM_038046516.1,3246.660781,2824.278841,2614.131494,3999.291211,4103.403618,3996.294825,nan,3434.572065,0.49236363,0.167457943,2.940222601,0.003279765,0.031454242
XM_038046517.1,0,2.096717773,0.989451739,0,2.154017647,0,nan,0.825036624,-0.575168439,3.950991061,-0.145575738,0.884256322,NA
XM_038046518.1,0,2.096717773,0.989451739,0,2.154017647,0,nan,0.825036624,-0.575168439,3.950991061,-0.145575738,0.884256322,NA
XM_038046519.1,0,2.096717773,0.989451739,0,2.154017647,0,nan,0.825036624,-0.575168439,3.950991061,-0.145575738,0.884256322,NA
XM_038046520.1,1658.48238,1605.037456,1459.441315,741.2298894,1877.22638,1678.793803,nan,1489.633475,-0.120710345,0.343474008,-0.351439535,0.725258627,0.902602523
XM_038046521.1,13453.41544,16175.12926,15383.99563,7636.342957,10795.93645,10340.71362,nan,12174.52093,-0.631205316,0.194207348,-3.250161861,0.001153393,0.014163965
XM_038046522.1,13453.41544,16175.12926,15383.99563,7636.342957,10795.93645,10340.71362,nan,12174.52093,-0.631205316,0.194207348,-3.250161861,0.001153393,0.014163965
XM_038046523.1,9300.870608,10862.04642,9483.894916,3796.185846,7625.222472,8653.170403,nan,8207.534755,-0.54700834,0.290975507,-1.879911973,0.060120076,0.264144505
XM_038046524.1,1514.41685,1357.624758,1394.1375,1289.823762,1627.360333,1381.313728,nan,1414.194093,0.024926004,0.201244569,0.123859262,0.901426709,0.973131398
