Gene,Ant_MF1,Ant_MF2,Ant_MF3,Ant_VF1,Ant_VF2,Ant_VF3,Name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
XM_038046537.1,429.585325,340.1897062,411.4785252,404.5360078,296.6855649,399.7385025,nan,378.9491106,-0.082342197,0.214795122,-0.383352268,0.70145859,0.95202173
XM_038046538.1,313.4081616,256.9018816,304.0644524,276.6058173,205.4783418,316.6245564,nan,277.6922169,-0.112019842,0.240634115,-0.465519373,0.641559567,0.942882695
XM_038046539.1,365.6428552,297.9592599,377.6017791,308.876496,252.6544917,357.1920777,nan,325.4738678,-0.164270189,0.223352414,-0.735475321,0.462050065,0.886678617
XM_038046540.1,335.0225176,283.8824445,344.5512952,292.7411567,230.6389551,329.487429,nan,301.5874435,-0.159501639,0.225384804,-0.70768586,0.47914036,0.899323365
XM_038046541.1,8.105383491,0,0,0,0,0,nan,1.304228937,-3.824036263,3.843446824,-0.9949497,0.319760729,NA
XM_038046542.1,1041.992078,1257.528845,885.7529699,1033.814242,1013.763043,1086.418009,nan,1049.004558,-0.006861142,0.170461592,-0.040250368,0.967893523,0.996195539
XM_038046543.1,22788.73598,25212.7495,21957.08901,20532.21932,21492.40554,23680.54846,nan,22516.93495,-0.074122881,0.123344591,-0.600941477,0.547878966,0.926004136
XM_038046544.1,22792.33838,25218.61484,21969.48294,20533.37184,21493.45389,23686.48517,nan,22521.58627,-0.074404085,0.123347307,-0.603208018,0.546370315,0.925876653
XM_038046545.1,22294.30759,23193.89955,20654.07368,19594.06458,20630.65453,22221.10715,nan,21340.6837,-0.06633504,0.11746452,-0.564724059,0.572261467,0.928678709
XM_038046546.1,20847.04634,22241.36838,19213.07258,18710.07849,18505.63107,20430.1995,nan,19906.44614,-0.095291448,0.119560568,-0.79701401,0.425442895,0.875231924
XM_038046547.1,250.36629,286.2285804,217.306932,168.2685389,214.9135718,223.616093,nan,225.5662894,-0.294563788,0.241911436,-1.217651357,0.223356489,0.745381511
XM_038046548.1,398.0643892,255.7288136,313.1533354,366.502708,333.378126,297.8249734,nan,326.0624433,0.063743757,0.229808041,0.277378268,0.781489667,0.96350236
